YEAR,STATION,Entries 06:00 to 10:00,Exits 06:00 to 10:00,Entries 10:00 to 15:00,Exits 10:00 to 15:00,Entries 15:00 to 19:00,Exits 15:00 to 19:00,Entries 19:00  to 06:00,Exits 19:00  to 06:00,Entries 24 hours,Exits 24 hours
2017,Bankstown Station,3630,2080,2330,2250,2480,3820,840,1390,9280,9540
2017,Bardwell Park Station,930,60,220,170,130,800,80,280,1360,1310
2017,Bargo Station,-,-,-,-,-,-,-,-,70,70
2017,Bathurst Station,-,-,-,-,-,-,-,-,70,50
2017,Beecroft Station,1460,190,340,290,340,1220,90,420,2230,2120
2017,Bell Station,-,-,-,-,-,-,-,-,0,0
2017,Bellambi Station,-,-,-,-,-,-,-,-,120,110
2017,Belmore Station,1650,300,660,500,490,1440,290,550,3090,2790
2017,Berala Station,1120,110,370,270,220,1070,220,380,1930,1830
2017,Beresfield Station,-,-,-,-,-,-,-,-,200,180
2017,Berowra Station,1350,100,160,170,130,1080,80,270,1720,1620
2017,Berry Station,-,-,-,-,-,-,-,-,80,70
2017,Beverly Hills Station,1530,240,430,280,360,1240,180,520,2500,2280
2017,Bexley North Station,880,70,220,150,130,730,100,290,1330,1240
2017,Birrong Station,730,140,270,140,140,570,60,200,1200,1050
2017,Blackheath Station,-,-,-,-,-,-,-,-,260,250
2017,Blacktown Station,7740,3660,3890,3610,4480,8770,2030,2810,18140,18850
2017,Blaxland Station,550,40,100,100,80,470,90,130,820,740
2017,Bomaderry Station,-,-,-,-,-,-,-,-,370,300
2017,Bombo Station,-,-,-,-,-,-,-,-,30,30
2017,Bondi Junction Station,12650,5620,4850,5230,7090,11910,2980,4610,27570,27370
2017,Booragul Station,-,-,-,-,-,-,-,-,50,50
2017,Bowral Station,-,-,-,-,-,-,-,-,260,220
2017,Branxton Station,-,-,-,-,-,-,-,-,0,0
2017,Broadmeadow Station,330,160,230,170,200,310,130,160,890,800
2017,Bullaburra Station,-,-,-,-,-,-,-,-,100,70
2017,Bulli Station,-,-,-,-,-,-,-,-,230,200
2017,Bundanoon Station,-,-,-,-,-,-,-,-,20,10
2017,Burradoo Station,-,-,-,-,-,-,-,-,10,10
2017,Burwood Station,6640,4010,4800,4120,5550,7700,2140,3760,19130,19590
2017,Cabramatta Station,4290,870,2330,2120,1400,4000,840,1620,8860,8610
2017,Camellia Station,-,-,-,-,-,-,-,-,90,100
2017,Campbelltown Station,3240,920,890,920,910,3160,1010,980,6050,5980
2017,Campsie Station,4040,970,2190,1740,1520,3810,790,1690,8540,8210
2017,Canley Vale Station,1580,160,590,400,320,1370,320,700,2810,2630
2017,Canterbury Station,1460,330,670,360,510,1130,240,660,2880,2480
2017,Cardiff Station,320,70,120,130,100,250,120,140,660,590
2017,Caringbah Station,1590,650,520,440,720,1450,240,460,3070,3000
2017,Carlingford Station,-,-,-,-,-,-,-,-,430,300
2017,Carlton Station,2000,150,580,390,340,1600,240,750,3160,2890
2017,Carramar Station,280,60,130,110,80,250,60,80,550,500
2017,Casula Station,-,-,-,-,-,-,-,-,350,300
2017,Central Station,14570,57260,23620,31530,58360,22430,22410,8980,118960,120200
2017,Chatswood Station,7110,9440,6010,6500,11430,10200,3710,3620,28260,29760
2017,Cheltenham Station,-,-,-,-,-,-,-,-,1550,1310
2017,Chester Hill Station,580,190,240,200,250,490,100,150,1170,1030
2017,Circular Quay Station,3620,11860,5740,7950,13260,5910,5250,2030,27870,27750
2017,Civic Station,-,-,-,-,-,-,-,-,20,10
2017,Clarendon Station,-,-,-,-,-,-,-,-,130,120
2017,Clyde Station,340,250,170,150,270,300,80,140,860,840
2017,Coalcliff Station,-,-,-,-,-,-,-,-,20,0
2017,Cockle Creek Station,-,-,-,-,-,-,-,-,20,30
2017,Coledale Station,-,-,-,-,-,-,-,-,40,50
2017,Como Station,-,-,-,-,-,-,-,-,860,760
2017,Concord West Station,1350,490,380,300,600,1110,130,420,2460,2320
2017,Coniston Station,160,50,60,40,50,130,50,60,320,280
2017,Corrimal Station,-,-,-,-,-,-,-,-,180,160
2017,Cowan Station,-,-,-,-,-,-,-,-,80,60
2017,Cringila Station,-,-,-,-,-,-,-,-,10,20
2017,Cronulla Station,1220,300,510,510,450,1120,270,420,2450,2350
2017,Croydon Station,1460,290,380,320,540,1190,130,440,2510,2240
2017,Dapto Station,320,60,100,100,70,330,150,120,640,610
2017,Denistone Station,-,-,-,-,-,-,-,-,690,580
2017,Domestic Station,2140,2460,2210,2290,2310,2650,1430,740,8090,8140
2017,Doonside Station,1830,130,420,310,240,1560,250,490,2740,2490
2017,Dora Creek Station,-,-,-,-,-,-,-,-,50,50
2017,Douglas Park Station,-,-,-,-,-,-,-,-,20,40
2017,Dulwich Hill Station,1650,410,540,400,570,1290,230,540,2990,2640
2017,Dundas Station,-,-,-,-,-,-,-,-,220,180
2017,Dungog Station,-,-,-,-,-,-,-,-,30,20
2017,East Hills Station,660,60,130,100,80,570,80,150,950,880
2017,East Maitland Station,-,-,-,-,-,-,-,-,30,30
2017,East Richmond Station,-,-,-,-,-,-,-,-,270,370
2017,Eastwood Station,4130,900,1870,1570,1600,3810,750,1870,8350,8150
2017,Edgecliff Station,4300,2740,2070,1740,2960,3720,810,1410,10140,9610
